Background,Base,Eyewear,Headgear,Mouth,tokenId,Name,File_path
Cyan,Normal,Thug Life Glasses,Bunny Ears,Smile,1,PolyMonkeys #1,1.png
Pink,Normal,Black Aviator Sunglasses,Bunny Ears,Frown,2,PolyMonkeys #2,2.png
Purple,Normal,None,Fedora,Frown,3,PolyMonkeys #3,3.png
Red,Ghost,Rounded Yellow Shades,Top Hat,Frown,4,PolyMonkeys #4,4.png
Blue,Normal,Black Aviator Sunglasses,Fedora,Smile,5,PolyMonkeys #5,5.png
Yellow,Normal,Rounded Yellow Shades,Witch Hat,Frown,6,PolyMonkeys #6,6.png
Yellow,Zombie,Black Aviator Sunglasses,Mexican Sombrero Hat,Smile,7,PolyMonkeys #7,7.png
Blue,Normal,Rounded Yellow Shades,Fedora,Frown,8,PolyMonkeys #8,8.png
Blue,Normal,Rounded Yellow Shades,None,Smile,9,PolyMonkeys #9,9.png
Yellow,Ghost,None,Pirate Hat,Smile,10,PolyMonkeys #10,10.png
Cyan,Normal,Squared Gold Glasses,Pirate Hat,Smile,11,PolyMonkeys #11,11.png
Pink,Zombie,Monocle,Witch Hat,Frown,12,PolyMonkeys #12,12.png
Blue,Ghost,Squared Gold Glasses,Fedora,Smile,13,PolyMonkeys #13,13.png
Pink,Ghost,Monocle,Cowboy Hat,Frown,14,PolyMonkeys #14,14.png
Purple,Alien,None,Graduation Hat,Frown,15,PolyMonkeys #15,15.png
Yellow,Zombie,Squared Gold Glasses,Fedora,Smile,16,PolyMonkeys #16,16.png
Blue,Zombie,Squared Gold Glasses,None,Smile,17,PolyMonkeys #17,17.png
Pink,Alien,Black Aviator Sunglasses,None,Smile,18,PolyMonkeys #18,18.png
Blue,Zombie,Thug Life Glasses,Pirate Hat,Frown,19,PolyMonkeys #19,19.png
Yellow,Normal,Squared Gold Glasses,Bunny Ears,Smile,20,PolyMonkeys #20,20.png
Yellow,Normal,None,Witch Hat,Smile,21,PolyMonkeys #21,21.png
